"""N"",""x"""
1,334074.3329
2,337459.869190614
3,343244.195930576
4,349100.240026543
5,354882.677197256
6,360557.479815658
7,366241.338514654
8,370996.89233178
9,371103.054314736
10,371321.784479545
11,376081.749571592
12,381612.333503015
13,386906.751051592
14,392714.469801042
15,399314.438668062
16,403653.040565401
17,406087.106569083
18,408902.009273729
19,413610.284736406
20,420663.433174928
21,428085.088257307
22,433165.724471672
23,433204.054575544
24,430455.066481761
25,432392.489514275
26,439211.470268762
27,446424.858709715
28,453933.207250886
29,461629.753093694
30,469236.691007275
31,476953.734615135
32,485076.209539389
33,492533.48127236
34,500437.931362579
35,509258.363399699
36,517873.258959263
37,526588.556220612
38,534419.453258231
39,542114.021946238
40,550836.177204379
41,559864.681556711
42,568962.56469761
43,578161.638548489
44,587471.384924365
45,592675.444891403
46,596410.971947544
47,604255.289747693
48,613390.379478358
49,622371.697780326
50,631642.045352424
51,641317.679301087
52,651037.371176966
53,656870.709621453
54,659248.504699258
55,661424.475391489
56,663264.611230334
57,669609.809737888
58,679893.264102871
59,689485.245339551
60,698941.497194487
61,710006.036823994
62,722479.589676013
63,734956.084898747
64,747381.738851149
65,758425.25804999
66,769468.143970634
67,781359.489731738
68,793569.945571977
69,797479.632028999
70,792280.401586341
71,787072.135074676
72,789030.826129
73,793031.683262149
74,792527.54364116
75,798421.403392962
76,809406.813176252
77,820332.895888153
78,831963.191568397
79,843537.371386564
80,846488.888099695
81,849441.226625525
82,861091.534107932
83,864206.934548695
84,867058.530177875
85,878774.551316492
86,890610.444825714
87,902269.663919047
88,914842.61417682
89,918941.174952201
90,913972.310452226
91,917930.414762426
92,921865.207262079
93,925428.365170294
94,937888.811236088
95,951126.116274267
96,964843.352999077
97,969243.814672561
98,973937.465170168
99,978958.341809827
100,974470.110273825
101,978322.424621599
102,991441.128328366
103,1005538.5758162
104,1019707.49526414
105,1031317.82605721
106,1040259.32553321
107,1048699.93785904
108,1050266.55123903
109,1051860.65805776
110,1053523.24825081
111,1048938.81258046
112,1054194.64577022
113,1067584.95143824
114,1077918.19118628
115,1086718.52619653
116,1095446.77141892
117,1104489.59969527
118,1116642.41526113
119,1131580.89588136
120,1146822.2345518
121,1152003.03883701
122,1157297.26732315
123,1162255.29930747
124,1156661.70924129
125,1161713.65089593
126,1177241.32292062
127,1182182.67765992
128,1186512.91643113
129,1200786.80145449
130,1215608.7524088
131,1231131.24451763
132,1235903.71247019
133,1240968.86411369
134,1257723.69685694
135,1263976.49275261
136,1268316.82384359
137,1283472.40632317
138,1300561.21088086
139,1306219.64377425
140,1312001.78895368
141,1329906.67758867
142,1348336.65058235
143,1363167.3895369
144,1376057.73564771
145,1393127.28323641
146,1413120.18258046
